title,year,Best Supporting Female,Best Screenplay,Best Feature,Best Male Lead,"Best First Feature - Under $500,000",Best Debut Performance,Best Cinematography,Best International Film,Best Director,Best Documentary,Best Film Music,Best Foreign Film,"Best Feature - Under $500,000",Best Female Lead,Best First Screenplay,Best Supporting Male,Best First Feature,Best Editing,Best Original Score,"Best First Feature - Over $500,000"
"Boots Riley, Nina Yang Bongiovi, Jonathan Duffy, Charles D. King, George Rush, Forest Whitaker, Kelly Williams",2019,,,,,,,,,,,,,,,,,Sorry to Bother You,,,
Bowling for Columbine,2003,,,,,,,,,,Michael Moore,,,,,,,,,,
Boyhood,2015,Patricia Arquette,,,,,,,,Richard Linklater,,,,,,,,,,,
Boys Don't Cry,2000,Chloë Sevigny,,,,,,,,,,,,,Hilary Swank,,,,,,
Brokeback Mountain,2006,,,"James Schamus, Diana Ossana",,,,,,Ang Lee,,,,,,,,,,,
Bullets Over Broadway,1995,Dianne Wiest,,,,,,,,,,,,,,,Chazz Palminteri,,,,
Call Me by Your Name,2018,,,,Timothée Chalamet,,,Sayombhu Mukdeeprom,,,,,,,,,,,,,
Can You Ever Forgive Me?,2019,,"Jeff Whitty, Nicole Holofcener",,,,,,,,,,,,,,Richard E. Grant,,,,
Capote,2006,,Dan Futterman,,Philip Seymour Hoffman,,,,,,,,,,,,,,,,
Carol,2016,,,,,,,Edward Lachman,,,,,,,,,,,,,
Chasing Amy,1998,,Kevin Smith,,,,,,,,,,,,,,Jason Lee,,,,
Chuck & Buck,2001,,,,,,,,,,,,,"Miguel Arteta (director), Matthew Greenfield (producer), Mike White (writer)",,,,,,,
Citizenfour,2015,,,,,,,,,,"Laura Poitras (director, producer), Mathilde Bonnefoy (producer), Dirk Wilutzky (producer)",,,,,,,,,,
City of Hope,1992,,,,,,,,,,,,,,,,David Strathairn,,,,
Crash,2006,,,,,,,,,,,,,,,,Matt Dillon,"Paul Haggis (director/producer), Cathy Schulman (producer), Don Cheadle (producer), Bob Yari (producer), Mark R. Harris (producer), Bobby Moresco (producer)",,,
Crazy Heart,2010,,,,Jeff Bridges,,,,,,,,,,,,,"Scott Cooper (director/producer), Robert Duvall (producer), Rob Carliner (producer), Judy Cairo (producer), T Bone Burnett (producer)",,,
Crazy Love,2008,,,,,,,,,,Dan Klores,,,,,,,,,,
"Crouching Tiger, Hidden Dragon",2001,Ziyi Zhang,,"William Kong, Li-Kong Hsu, Ang Lee",,,,,,Ang Lee,,,,,,,,,,,
Dale Dickey,2011,Winter's Bone,,,,,,,,,,,,,,,,,,,
Dallas Buyers Club,2014,,,,Matthew McConaughey,,,,,,,,,,,,Jared Leto,,,,
Dancer in the Dark,2001,,,,,,,,,,,,Lars von Trier,,,,,,,,
"Daniel Clowes, Terry Zwigoff",2002,,,,,,,,,,,,,,,Ghost World,,,,,
Dark Days,2001,,,,,,,,,,Marc Singer,,,,,,,,,,
Dead Man Walking,1996,,,,Sean Penn,,,,,,,,,,,,,,,,
Dear White People,2015,,,,,,,,,,,,,,,Justin Simien,,,,,
Dirty Dancing,1988,,,,,,,,,,,,,,,,,"Emile Ardolino (director), Linda Gottlieb (producer)",,,
Dogtown and Z-Boys,2002,,,,,,,,,,Stacy Peralta,,,,,,,,,,
Drugstore Cowboy,1990,,"Gus Van Sant, Daniel Yost",,Matt Dillon,,,Robert D. Yeoman,,,,,,,,,Max Perlich,,,,
Eighth Grade,2019,,,,,,,,,,,,,,,Bo Burnham,,,,,
El mariachi,1994,,,,,,,,,,,,,,,,,"Robert Rodriguez (director/producer), Carlos Gallardo (producer)",,,
Election,2000,,"Alexander Payne, Jim Taylor","Albert Berger, Ron Yerxa, David Gale, Keith Samples",,,,,,Alexander Payne,,,,,,,,,,,
Elle,2017,,,,,,,,,,,,,,Isabelle Huppert,,,,,,
Enron: The Smartest Guys in the Room,2006,,,,,,,,,,Alex Gibney,,,,,,,,,,
Eve's Bayou,1998,Debbi Morgan,,,,,,,,,,,,,,,,"Kasi Lemmons (director), Caldecot Chubb (producer), Samuel L. Jackson (producer)",,,
Exit Through the Gift Shop,2011,,,,,,,,,,Banksy,,,,,,,,,,
"Faces, Places",2018,,,,,,,,,,"Agnès Varda, JR",,,,,,,,,,
Far from Heaven,2003,,,"Jody Allen, Christine Vachon",,,,Edward Lachman,,Todd Haynes,,,,,Julianne Moore,,Dennis Quaid,,,,
Fargo,1997,,"Joel Coen, Ethan Coen",Ethan Coen,William H. Macy,,,Roger Deakins,,Joel Coen,,,,,Frances McDormand,,,,,,
Festen,1999,,,,,,,,,,,,Thomas Vinterberg,,,,,,,,
First Reformed,2019,,,,Ethan Hawke,,,,,,,,,,,,,,,,
Five Corners,1989,,,,,,,,,,,,,,Jodie Foster,,,,,,
Fresh,1995,,,,,,Sean Nelson,,,,,,,,,,,,,,
Friends with Money,2007,Frances McDormand,,,,,,,,,,,,,,,,,,,
Frozen River,2009,,,,,,,,,,,,,,Melissa Leo,,,,,,
Fruitvale Station,2014,,,,,,,,,,,,,,,,,"Ryan Coogler (director), Nina Yang Bongiovi (producer), Forest Whitaker (producer)",,,
Garden State,2005,,,,,,,,,,,,,,,,,"Zach Braff (director), Pamela Abdy (producer), Gary Gilbert (producer), Dan Halsted (producer), Rich Klubeck (producer)",,,
Gas Food Lodging,1993,,,,,,,,,,,,,,Fairuza Balk,,,,,,
Georgia,1996,Mare Winningham,,,,,,,,,,,,,,,,,,,
Get Low,2011,,,,,,,,,,,,,,,,,"Aaron Schneider, Dean Zanuck, David Gundlach",,,
Get Out,2018,,,"Jason Blum, Edward H. Hamm Jr., Sean McKittrick, Jordan Peele",,,,,,Jordan Peele,,,,,,,,,,,
Ghost World,2002,,,,,,,,,,,,,,,,Steve Buscemi,,,,
Girlfight,2001,,,,,,Michelle Rodriguez,,,,,,,,,,,,,,
Gods and Monsters,1999,Lynn Redgrave,,"Paul Colichman, Gregg Fienberg, Mark R. Harris",Ian McKellen,,,,,,,,,,,,,,,,
"Good Night, and Good Luck.",2006,,,,,,,Robert Elswit,,,,,,,,,,,,,
Half Nelson,2007,,,,Ryan Gosling,,,,,,,,,,Shareeka Epps,,,,,,
"Happy, Texas",2000,,,,,,,,,,,,,,,,Steve Zahn,,,,
Heathers,1990,,,,,,,,,,,,,,,,,"Michael Lehmann (director), Denise Di Novi (producer)",,,
Hell or High Water,2017,,,,,,,,,,,,,,,,Ben Foster,,,,
High Art,1999,,,,,,,,,,,,,,Ally Sheedy,,,,,,
House of Sand and Fog,2004,Shohreh Aghdashloo,,,,,,,,,,,,,,,,,,,
Household Saints,1994,Lili Taylor,,,,,,,,,,,,,,,,,,,
I'm Not There,2008,Cate Blanchett,,,,,,,,,,,,,,,,,,,
