title,year,stars
Barely Lethal,2015,"Jaime King, Samuel L. Jackson, Madeleine Stack, Eva G. Cooper"
Anesthesia,2015,"Sam Waterston, Kristen Stewart, Corey Stoll, Gretchen Mol"
Maggie,2015,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Laura Cayouette"
Slow Learners,2015,"Adam Pally, Megan Neuringer, Bobby Spears Jr., Peter Grosz"
Dirty Weekend,2015,"Matthew Broderick, Alice Eve, Phil Burke, Gia Crovatin"
Song of Lahore,2015,"Najaf Ali, Rafiq Ahmed, Saleem Khan, Asad Ali"
One More Time,2015,"Christopher Walken, Amber Heard, Kelli Garner, Hamish Linklater"
Men Go to Battle,2015,"Charlotte Arnold, Steve Coulter, Samantha Jacober, Emily Kicklighter"
King Jack,2015,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty"
Dark Places,2015,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz"
7 Chinese Brothers,2015,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta"
Tab Hunter Confidential,2015,"Tab Hunter, Clint Eastwood, Rock Hudson, Natalie Wood"
"Hello, My Name Is Doris",2015,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey"
The Invitation,2015,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard"
Run All Night,2015,"Liam Neeson, Ed Harris, Joel Kinnaman, Vincent D'Onofrio"
The Gunman,2015,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem"
Results,2015,"Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi"
I'll See You in My Dreams,2015,"Blythe Danner, Martin Starr, Sam Elliott, Malin Akerman"
Unexpected,2015,"Cobie Smulders, Anders Holm, Gail Bean, Elizabeth McGovern"
Being Evel,2015,"Ken Berg, Seth Enslow, Ray Gunn, George Hamilton"
Me and Earl and the Dying Girl,2015,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
The Hallow,2015,"Joseph Mawle, Bojana Novakovic, Michael McElhatton, Michael Smiley"
Mississippi Grind,2015,"Ben Mendelsohn, Ryan Reynolds, Yvonne Landry, Anthony Howard"
The Witch,2015,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
Tangerine,2015,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan"
Strangerland,2015,"Nicole Kidman, Joseph Fiennes, Hugo Weaving, Lisa Flanagan"
Wild Card,2015,"Jason Statham, Michael Angarano, Dominik Garcia, Milo Ventimiglia"
Vice,2015,"Thomas Jane, Bruce Willis, Ambyr Childers, Johnathon Schaech"
Let's Kill Ward's Wife,2014,"Amy Acker, Ava Carpinello, James Carpinello, Dagmara Dominczyk"
Ex Machina,2014,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
Free the Nipple,2014,"Lina Esco, Lola Kirke, Monique Coleman, Zach Grenier"
Six Dance Lessons in Six Weeks,2014,"Gena Rowlands, Cheyenne Jackson, Jacki Weaver, Rita Moreno"
Mountain Men,2014,"Chace Crawford, Tyler Labine, Christine Willes, Britt Irvin"
