title,year,director,stars
Open Water,2003,Chris Kentis,"Michael E. Williamson, Blanchard Ryan, Saul Stein, Daniel Travis"
Orwell Rolls in His Grave,2003,Robert Kane Pappas,"Jeff Cohen, Vincent Bugliosi, Charles Lewis, Dennis Kucinich"
Uncle Nino,2003,Robert Shallcross,"Joe Mantegna, Pierrino Mascarino, Trevor Morgan, Anne Archer"
Tarnation,2003,Jonathan Caouette,"Rosemary Davis, Jonathan Caouette, Renee Leblanc, Adolph Davis"
Finding Home,2003,Lawrence David Foldes,"Misha Collins, Lisa Brenner, Louise Fletcher, Geneviève Bujold"
April's Shower,2003,Trish Doolan,"Maria Cina, Trish Doolan, Zack Ward, Frank Grillo"
The Texas Chainsaw Massacre,2003,Marcus Nispel,"Erica Leerhsen, Jessica Biel, Jonathan Tucker, Andrew Bryniarski"
Hatsujô kateikyôshi: Sensei no aijiru,2003,Mitsuru Meike,"Yûichi Ishikawa, Kikujirô Honda, Yukijirô Hotaru, Kyôko Hayami"
Kill Bill: Vol. 1,2003,Quentin Tarantino,"Michael Madsen, Daryl Hannah, David Carradine, Uma Thurman"
Flesh for the Beast,2003,Terry M. West,"Clark Beasley Jr., Jane Scarlett, Jim Coope, Sergio Jones"
The Boys & Girl from County Clare,2003,John Irvin,"Colm Meaney, Bernard Hill, Shaun Evans, Andrea Corr"
Easy,2003,Jane Weinstock,"Emily Deschanel, Naveen Andrews, Marguerite Moreau, ""Brían F. OByrne"""
In the Cut,2003,Jane Campion,"Michael Nuccio, Jennifer Jason Leigh, Mark Ruffalo, Meg Ryan"
The Company,2003,Robert Altman,"Neve Campbell, Malcolm McDowell, Barbara E. Robertson, James Franco"
The Yes Men,2003,Dan Ollman,"Andreas Bichlbauer, Michael Moore, Mike Bonanno, Andy Bichlbaum"
Greendale,2003,Neil Young,"Erik Markegard, Eric Johnson, Sarah White, Ben Keith"
21 Grams,2003,Alejandro G. Iñárritu,"Naomi Watts, Benicio Del Toro, Danny Huston, Sean Penn"
Casa de los babys,2003,John Sayles,"Lili Taylor, Maggie Gyllenhaal, Daryl Hannah, Mary Steenburgen"
Frankie and Johnny Are Married,2003,Michael Pressman,"Michael Pressman, Alan Rosenberg, Lisa Chess, Stephen Tobolowsky"
Lost in Translation,2003,Sofia Coppola,"Scarlett Johansson, Giovanni Ribisi, Anna Faris, Bill Murray"
Intermission,2003,John Crowley,"Colin Farrell, Kelly Macdonald, Shirley Henderson, Cillian Murphy"
Freddy vs. Jason,2003,Ronny Yu,"Ken Kirzinger, Kelly Rowland, Robert Englund, Monica Keena"
Shattered Glass,2003,Billy Ray,"Peter Sarsgaard, Chloë Sevigny, Hayden Christensen, Steve Zahn"
Last Life in the Universe,2003,Pen-Ek Ratanaruang,"Laila Boonyasak, Sinitta Boonyasak, Takashi Miike, Tadanobu Asano"
This Thing of Ours,2003,Danny Provenzano,"Louis Vanaria, Frank Vincent, Vincent Pastore, Christian Maelen"
Latter Days,2003,C. Jay Cox,"Wes Ramsey, Steve Sandvoss, Amber Benson, Mary Kay Place"
The Story of the Weeping Camel,2003,Byambasuren Davaa,"Janchiv Ayurzana, Amgaabazar Gonson, Chimed Ohin, Zeveljamz Nyam"
The Room,2003,Tommy Wiseau,"Juliette Danielle, Greg Sestero, Tommy Wiseau, Philip Haldiman"
The Return,2003,Andrey Zvyagintsev,"Nataliya Vdovina, Ivan Dobronravov, Konstantin Lavronenko, Vladimir Garin"
High Tension,2003,Alexandre Aja,"Maïwenn, Franck Khalfoun, Philippe Nahon, Cécile de France"
Mayor of the Sunset Strip,2003,George Hickenlooper,"Exene Cervenka, David Bowie, Rodney Bingenheimer, Joey Ramone"
Overnight,2003,Tony Montana,"Jake Busey, Jeffrey Baxter, Troy Duffy, Chris Brinker"
Wrong Turn,2003,Rob Schmidt,"Jeremy Sisto, Eliza Dushku, Emmanuelle Chriqui, Desmond Harrington"
Crimson Gold,2003,Jafar Panahi,"Shahram Vaziri, Hossain Emadeddin, Kamyar Sheisi, Azita Rayeji"
The Barbarian Invasions,2003,Denys Arcand,"Stéphane Rousseau, Marie-Josée Croze, Rémy Girard, Dorothée Berryman"
The Brown Bunny,2003,Vincent Gallo,"Vincent Gallo, Elizabeth Blake, Chloë Sevigny, Cheryl Tiegs"
Elephant,2003,Gus Van Sant,"Alex Frost, Elias McConnell, John Robinson, Eric Deulen"
Conspiracy of Silence,2003,John Deery,"Brenda Fricker, Jonathan Forbes, Catherine Cusack, ""Niall OBrien"""
Death of a Dynasty,2003,Damon Dash,"Robert Stapleton, Ebon Moss-Bachrach, Capone Lee, Loon"
Step Into Liquid,2003,Dana Brown,"Dan Malloy, Robert August, Layne Beachley, Laird Hamilton"
The Blonds,2003,Albertina Carri,"Albertina Carri, Jesica Suarez, Santiago Giralt, Analía Couceyro"
Ned Kelly,2003,Gregor Jordan,"Orlando Bloom, Naomi Watts, Heath Ledger, Geoffrey Rush"
House of 1000 Corpses,2003,Rob Zombie,"Bill Moseley, Sheri Moon Zombie, Sid Haig, Karen Black"
Go Further,2003,Ron Mann,"Jessica Yoon Ji Chung, Ken Kesey, Woody Harrelson, Tom Ballanco"
New Guy,2003,Bilge Ebiri,"Jonathan Uffelman, Scott Janes, Johnny Ray, Kelly Miller"
Undead,2003,Michael Spierig,"Mungo McKay, Felicity Mason, Rob Jenkins, Lisa Cunningham"
House of the Dead,2003,Uwe Boll,"Ona Grauer, Tyron Leitso, Clint Howard, Jonathan Cherry"
Blind Shaft,2003,Yang Li,"Shuangbao Wang, Yixiang Li, Jing Ai, Baoqiang Wang"
A Thousand Clouds of Peace,2003,Julián Hernández,"Juan Carlos Torres, Juan Carlos Ortuño, Salvador Alvarez, Gloria Andrade"
My Life Without Me,2003,Isabel Coixet,"Leonor Watling, Mark Ruffalo, Sarah Polley, Scott Speedman"
The Station Agent,2003,Tom McCarthy,"Paul Benjamin, Peter Dinklage, Patricia Clarkson, Bobby Cannavale"
Dopamine,2003,Mark Decena,"Bruno Campos, Sabrina Lloyd, Rueben Grundy, John Livingston"
The Hebrew Hammer,2003,Jonathan Kesselman,"Adam Goldberg, Judy Greer, Andy Dick, Mario Van Peebles"
Northfork,2003,Michael Polish,"Nick Nolte, James Woods, Duel Farnes, Anthony Edwards"
A Decade Under the Influence,2003,Ted Demme,"Robert Altman, John G. Avildsen, William Friedkin, Francis Ford Coppola"
All the Real Girls,2003,David Gordon Green,"Zooey Deschanel, Shea Whigham, Patricia Clarkson, Paul Schneider"
Party Monster,2003,Fenton Bailey,"Wilson Cruz, Macaulay Culkin, Seth Green, Diana Scarwid"
The United States of Leland,2003,Matthew Ryan Hoge,"Ryan Gosling, Chris Klein, Kevin Spacey, Don Cheadle"
Girls Will Be Girls,2003,Richard Day,"Jack Plotnick, Ron Mathews, Jeffery Roberson, Clinton Leupp"
Thirteen,2003,Catherine Hardwicke,"Evan Rachel Wood, Nikki Reed, Vanessa Hudgens, Holly Hunter"
The Cooler,2003,Wayne Kramer,"Shawn Hatosy, William H. Macy, Maria Bello, Alec Baldwin"
The Singing Detective,2003,Keith Gordon,"Robin Wright, Mel Gibson, Jeremy Northam, Robert Downey Jr."
The Reckoning,2002,Paul McGuigan,"Trevor Steedman, Paul Bettany, Willem Dafoe, Marián Aguilera"
Gangs of New York,2002,Martin Scorsese,"Leonardo DiCaprio, Jim Broadbent, Daniel Day-Lewis, Cameron Diaz"
The Weather Underground,2002,Sam Green,"Jim Lange, Pamela Z, Lili Taylor, Evan White"
Solitude,2002,Susan Kraker,"Jaraneh Nova, Patrick Belton, Mary Thornton"
Wilbur Wants to Kill Himself,2002,Lone Scherfig,"Lisa McKinlay, Adrian Rawlins, Shirley Henderson, Jamie Sives"
Lana's Rain,2002,Michael S. Ojeda,"Nickolai Stoilov, Oksana Orlan, Stephanie Childers, Luoyong Wang"
Uzak,2002,Nuri Bilge Ceylan,"Mehmet Emin Toprak, Nazan Kesal, Muzaffer Özdemir, Zuhal Gencer"
Waking Up in Reno,2002,Jordan Brady,"Natasha Richardson, Charlize Theron, Patrick Swayze, Billy Bob Thornton"
Secret Things,2002,Jean-Claude Brisseau,"Sabrina Seyvecou, Roger Miremont, Fabrice Deville, Coralie Revel"
Hellraiser: Hellseeker,2002,Rick Bota,"Dean Winters, Rachel Hayward, Doug Bradley, Ashley Laurence"
The Rules of Attraction,2002,Roger Avary,"Jessica Biel, James Van Der Beek, Shannyn Sossamon, Ian Somerhalder"
Anything But Love,2002,Robert Cary,"Alix Korey, Isabel Rose, Andrew McCarthy, Cameron Bancroft"
Jonah: A VeggieTales Movie,2002,Mike Nawrocki,"Mike Nawrocki, Lisa Vischer, Phil Vischer, Tim Hodge"
Cabin Fever,2002,Eli Roth,"Jordan Ladd, Cerina Vincent, Rider Strong, James DeBello"
Manna from Heaven,2002,Gabrielle Burton,"Seymour Cassel, Cloris Leachman, Louise Fletcher, Shirley Jones"
Pure,2002,Gillies MacKinnon,"David Wenham, Molly Parker, Harry Eden, Vinnie Hunter"
Phone Booth,2002,Joel Schumacher,"Forest Whitaker, Kiefer Sutherland, Colin Farrell, Radha Mitchell"
City of Ghosts,2002,Matt Dillon,"Gérard Depardieu, James Caan, Matt Dillon, Natascha McElhone"
The Secret Lives of Dentists,2002,Alan Rudolph,"Robin Tunney, Denis Leary, Campbell Scott, Hope Davis"
Whale Rider,2002,Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene, Cliff Curtis, Vicky Haughton"
Auto Focus,2002,Paul Schrader,"Rita Wilson, Maria Bello, Willem Dafoe, Greg Kinnear"
7 Days in September,2002,Steve Rosenbaum,"Peter DiPilato, Rasheed J. Daniel, Jim Goetz, Dave Goldberg"
City by the Sea,2002,Michael Caton-Jones,"Eliza Dushku, James Franco, Robert De Niro, Frances McDormand"
Dirty Pretty Things,2002,Stephen Frears,"Sophie Okonedo, Sergi López, Chiwetel Ejiofor, Audrey Tautou"
"Sex, Politics & Cocktails",2002,Julien Hernandez,"Paul Lekakis, Dave Emerson, Marisa Petroro, Julien Hernandez"
Frida,2002,Julie Taymor,"Salma Hayek, Mía Maestro, Alfred Molina, Geoffrey Rush"
Lilya 4-Ever,2002,Lukas Moodysson,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov, Lyubov Agapova"
So Close,2002,Corey Yuen,"Seung-heon Song, Karen Mok, Qi Shu, Wei Zhao"
Close Your Eyes,2002,Nick Willing,"Paddy Considine, Shirley Henderson, Goran Visnjic, Miranda Otto"
Now & Forever,2002,Bob Clark,"Mia Kirshner, Gordon Tootoosis, Theresa Russell, Adam Beach"
Gaza Strip,2002,James Longley,Mohammed Hejazi
Halloween: Resurrection,2002,Rick Rosenthal,"Brad Loree, Jamie Lee Curtis, Busta Rhymes, Bianca Kajlich"
Spun,2002,Jonas Åkerlund,"Patrick Fugit, John Leguizamo, Brittany Murphy, Jason Schwartzman"
Showboy,2002,Lindy Heymann,"Christian Taylor, Joe Daley, Erich Miller, Lindy Heymann"
Dahmer,2002,David Jacobson,"Jeremy Renner, Matt Newton, Artel Great, Bruce Davison"
Just a Kiss,2002,Fisher Stevens,"Ron Eldard, Kyra Sedgwick, Marisa Tomei, Marley Shelton"
Cinemania,2002,Angela Christlieb,"Jack Angstreich, Bill Heidbreder, Eric Chadbourne, Roberta Hill"
Bubba Ho-Tep,2002,Don Coscarelli,"Bob Ivy, Ella Joyce, Ossie Davis, Bruce Campbell"
Divine Secrets of the Ya-Ya Sisterhood,2002,Callie Khouri,"Fionnula Flanagan, Ellen Burstyn, Sandra Bullock, James Garner"
Civil Brand,2002,Neema Barnette,"Yasiin Bey, LisaRaye McCoy, Monica Calhoun, ""NBushe Wright"""
Irreversible,2002,Gaspar Noé,"Vincent Cassel, Albert Dupontel, Jo Prestia, Monica Bellucci"
Russian Ark,2002,Aleksandr Sokurov,"Mariya Kuznetsova, Sergey Dreyden, Mikhail Piotrovsky, Leonid Mozgovoy"
Spider,2002,David Cronenberg,"Lynn Redgrave, Ralph Fiennes, Gabriel Byrne, Miranda Richardson"
Morvern Callar,2002,Lynne Ramsay,"Kathleen McDermott, Paul Popplewell, Samantha Morton, Linda McGuire"
Sunshine State,2002,John Sayles,"Alan King, Angela Bassett, Edie Falco, Alex Lewis"
Laurel Canyon,2002,Lisa Cholodenko,"Kate Beckinsale, Christian Bale, Frances McDormand, Alessandro Nivola"
Cremaster 3,2002,Matthew Barney,"Richard Serra, Paul Brady, Matthew Barney, Aimee Mullins"
Standing by Yourself,2002,Josh Koury,"Josh Siegfried, Adam Koury"
Three Days of Rain,2002,Michael Meredith,"Joey Bilow, Alimi Ballard, Penelope Allen, Erick Avari"
Ash Wednesday,2002,Edward Burns,"James Michael Cummings, Elijah Wood, Vincent Rubino, Brian Burns"
Roger Dodger,2002,Dylan Kidd,"Elizabeth Berkley, Jesse Eisenberg, Campbell Scott, Isabella Rossellini"
Deuces Wild,2002,Scott Kalvert,"Norman Reedus, Brad Renfro, Fairuza Balk, Stephen Dorff"
Space Station 3D,2002,Toni Myers,"Robert D. Cabana, Michael J. Bloomfield, James Arnold, Tom Cruise"
Echoes,2002,Atsushi Funahashi,"Joe Marino, Eden Rountree, Bobby Sobel, Paolo Pagliacolo"
Home Room,2002,Paul F. Ryan,"Busy Philipps, Victor Garber, Erika Christensen, Raphael Sbarge"
Group,2002,Anne de Marcken,"Carrie Brownstein, S. Ann Hall, Kari Fillipi, Vicki Hollenberg"
Leela,2002,Somnath Sen,"Deepti Naval, Amol Mhatre, Vinod Khanna, Dimple Kapadia"
Luster,2002,Everett Lewis,"Justin Herwick, B. Wyatt, Pamela Gidley, Shane Powers"
Resident Evil,2002,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Milla Jovovich, Michelle Rodriguez"
Martin & Orloff,2002,Lawrence Blume,"Matt Walsh, H. Jon Benjamin, Amy Poehler, Ian Roberts"
Garmento,2002,Michele Maher,"Danny Darrow, Cassidy Ladden, Sara Macgovern, Heather Magee"
Gigantic (A Tale of Two Johns),2002,AJ Schnack,"John Flansburgh, Gina Arnold, John Linnell, Michael Azerrad"
Zig Zag,2002,David S. Goyer,"Oliver Platt, John Leguizamo, Natasha Lyonne, Wesley Snipes"
The Backyard,2002,Paul Hough,"Chaos, The Lizard, Paul Hough, Scar"
The Time Machine,2002,Simon Wells,"Guy Pearce, Mark Addy, Yancey Arias, Phyllida Law"
The Gatekeeper,2002,John Carlos Frey,"Anne Betancourt, John Carlos Frey, Michelle Agnew, Joel Brooks"
Made-Up,2002,Tony Shalhoub,"Kalen Conover, Eva Amurri Martino, Lynne Adams, Brooke Adams"
Ciao America,2002,Frank Ciota,"Nathaniel Marston, Violante Placido, Eddie Malavarca, Maurizio Nichetti"
My Big Fat Greek Wedding,2002,Joel Zwick,"John Corbett, Christina Eleusiniotis, Michael Constantine, Nia Vardalos"
Venus Boyz,2002,Gabriel Baur,"Queen Bee Luscious, Dréd Gerestant, Del La Grace Volcano, Diane Torr"
The Dummy,2002,Greg Pritikin,"Vera Farmiga, Milla Jovovich, Adrien Brody, Illeana Douglas"
Lost in La Mancha,2002,Keith Fulton,"Terry Gilliam, Jeff Bridges, Tony Grisoni, Johnny Depp"
Crossroads,2002,Tamra Davis,"Britney Spears, Anson Mount, Taryn Manning, Zoe Saldana"
Rabbit-Proof Fence,2002,Phillip Noyce,"Kenneth Branagh, Tianna Sansbury, Everlyn Sampi, Laura Monaghan"
Teknolust,2002,Lynn Hershman-Leeson,"""John OKeefe"", James Urbaniak, Tilda Swinton, Jeremy Davies"
Empire,2002,Franc. Reyes,"Vincent Laresca, John Leguizamo, Peter Sarsgaard, Denise Richards"
"Slap Her, She's French!",2002,Melanie Mayron,"Michael McKean, Piper Perabo, Trent Ford, Jane McGregor"
Decasia,2002,Bill Morrison,"Tsuru Aoki, William S. Hart, Julia Calhoun, Margaret Cullington"
Yves Saint Laurent: 5 avenue Marceau 75116 Paris,2002,David Teboul,"Laetitia Casta, Loulou De La Falaise, Catherine Deneuve, Pierre Bergé"
The Dangerous Lives of Altar Boys,2002,Peter Care,"Emile Hirsch, ""Vincent DOnofrio"", Kieran Culkin, Jena Malone"
Coastlines,2002,Victor Nunez,"Josh Brolin, Timothy Olyphant, Scott Wilson, Sarah Wynter"
The Business of Fancydancing,2002,Sherman Alexie,"Gene Tagaban, Evan Adams, Michelle St. John, Swil Kanim"
Cherish,2002,Finn Taylor,"Brad Hunt, Liz Phair, Robin Tunney, Tim Blake Nelson"
Love Liza,2002,Todd Louiso,"Kathy Bates, Philip Seymour Hoffman, Annie Morgan, J.D. Walsh"
Pumpkin,2002,Anthony Abrams,"Hank Harris, Dominique Swain, Christina Ricci, Brenda Blethyn"
May,2002,Lucky McKee,"Angela Bettis, Jeremy Sisto, Anna Faris, James Duval"
Gerry,2002,Gus Van Sant,"Casey Affleck, Matt Damon"
Better Luck Tomorrow,2002,Justin Lin,"Parry Shen, Jason Tobin, Sung Kang, Shirley Anderson"
The Good Girl,2002,Miguel Arteta,"Mike White, Jennifer Aniston, Deborah Rush, Jake Gyllenhaal"
Biggie and Tupac,2002,Nick Broomfield,"Russell Poole, The Notorious B.I.G., Nick Broomfield, Tupac Shakur"
Blue Car,2002,Karen Moncrieff,"Agnes Bruckner, Frances Fisher, David Strathairn, Margaret Colin"
Secretary,2002,Steven Shainberg,"Maggie Gyllenhaal, Lesley Ann Warren, Jeremy Davies, James Spader"
Tadpole,2002,Gary Winick,"Sigourney Weaver, Kate Mara, Aaron Stanford, Robert Iler"
The Slaughter Rule,2002,Alex Smith,"Ryan Gosling, Clea DuVall, David Morse, David Cale"
XX/XY,2002,Austin Chick,"Maya Stange, Mark Ruffalo, ""Kel ONeill"", Kathleen Robertson"
The Dancer Upstairs,2002,John Malkovich,"Juan Diego Botto, Elvira Mínguez, Laura Morante, Javier Bardem"
Suspended Animation,2001,John D. Hancock,"Alex McArthur, Laura Esterman, Sage Allen, Rebecca Harrell Tickell"
Iris,2001,Richard Eyre,"Kate Winslet, Jim Broadbent, Hugh Bonneville, Judi Dench"
The Other Side of Heaven,2001,Mitch Davis,"Joe Folau, Nathaniel Lees, Anne Hathaway, Christopher Gorham"
Formula 51,2001,Ronny Yu,"Samuel L. Jackson, Nigel Whitmey, Robert Carlyle, Emily Mortimer"
Night at the Golden Eagle,2001,Adam Rifkin,"James Caan, Donnie Montemarano, Natasha Lyonne, Vinny Argiro"
Frailty,2001,Bill Paxton,"Matthew McConaughey, Bill Paxton, Powers Boothe, ""Matt OLeary"""
Monster's Ball,2001,Marc Forster,"Taylor Simpson, Gabrielle Witcher, Halle Berry, Billy Bob Thornton"
Festival in Cannes,2001,Henry Jaglom,"Greta Scacchi, Anouk Aimée, Rachel Bailit, Maximilian Schell"
Smokers Only,2001,Verónica Chen,"Leonardo Brzezicki, Adrián Fondari, Cecilia Bengolea, Pablo Razuk"
The Painting,2001,Peter Manoogian,"Clifton Davis, Heath Freeman, Stacey Dash, Charles Shaughnessy"
Impostor,2001,Gary Fleder,"Shane Brolly, Gary Sinise, ""Vincent DOnofrio"", Madeleine Stowe"
Blackwoods,2001,Uwe Boll,"Patrick Muldoon, Michael Paré, Will Sanderson, Keegan Connor Tracy"
K-PAX,2001,Iain Softley,"Kevin Spacey, Mary McCormack, Jeff Bridges, Alfre Woodard"
Ordinary Sinner,2001,John Henry Davis,"Kris Park, Brendan Hines, Elizabeth Banks, A Martinez"
Riding in Cars with Boys,2001,Penny Marshall,"Brittany Murphy, Drew Barrymore, Steve Zahn, Adam Garcia"
White Hotel,2001,Dianne Griffin,
All the Queen's Men,2001,Stefan Ruzowitzky,"Udo Kier, James Cosmo, Matt LeBlanc, Eddie Izzard"
The Royal Tenenbaums,2001,Wes Anderson,"Ben Stiller, Gene Hackman, Gwyneth Paltrow, Anjelica Huston"
Extremedays,2001,Eric Hannah,"Dante Basco, Ryan Browning, Derek Hamilton, A.J. Buckley"
Koroshiya 1,2001,Takashi Miike,"Nao Ohmori, Paulyn Sun, ""Shinya Tsukamoto"", Tadanobu Asano"
Snipes,2001,Rich Murray,"Dean Winters, Nelly, Sam Jones III, Zoe Saldana"
The Man from Elysian Fields,2001,George Hickenlooper,"Mick Jagger, Olivia Williams, Andy Garcia, Julianna Margulies"
The Grey Zone,2001,Tim Blake Nelson,"David Arquette, Velizar Binev, David Chandler, Michael Stuhlbarg"
Who Is Cletis Tout?,2001,Chris Ver Wiel,"Portia de Rossi, Richard Dreyfuss, Christian Slater, Tim Allen"
Heist,2001,David Mamet,"Rebecca Pidgeon, Gene Hackman, Danny DeVito, Delroy Lindo"
Focus,2001,Neal Slavin,"William H. Macy, Meat Loaf, Laura Dern, David Paymer"
Buffalo Soldiers,2001,Gregor Jordan,"Anna Paquin, Ed Harris, Joaquin Phoenix, Scott Glenn"
Novocaine,2001,David Atkins,"Steve Martin, Helena Bonham Carter, Laura Dern, Chelcie Ross"
Knockaround Guys,2001,Brian Koppelman,"Dennis Hopper, Jennifer Baxter, Barry Pepper, Vin Diesel"
Megiddo,2001,Brian Trenchard-Smith,"Joseph Makkar, Michael Biehn, Michael York, Guy Siner"
The Safety of Objects,2001,Rose Troche,"Glenn Close, Mary Kay Place, Patricia Clarkson, Dermot Mulroney"
Soul Survivors,2001,Stephen Carpenter,"Casey Affleck, Wes Bentley, Melissa Sagemiller, Eliza Dushku"
Birthday Girl,2001,Jez Butterworth,"Vincent Cassel, Mathieu Kassovitz, Nicole Kidman, Ben Chaplin"
World Traveler,2001,Bart Freundlich,"Nicolas Suresky, Billy Crudup, Francie Swift, Julianne Moore"
Dog Days,2001,Ulrich Seidl,"Maria Hofstätter, Viktor Hennemann, Christine Jirku, Georg Friedrich"
Invincible,2001,Werner Herzog,"Jouko Ahola, Max Raabe, Anna Gourari, Tim Roth"
Thirteen Conversations About One Thing,2001,Jill Sprecher,"John Turturro, Matthew McConaughey, David Connolly, Alan Arkin"
Me Without You,2001,Sandra Goldbacher,"Ella Jones, Anna Friel, Michelle Williams, Anna Popplewell"
Training Day,2001,Antoine Fuqua,"Scott Glenn, Denzel Washington, Tom Berenger, Ethan Hawke"
Monsoon Wedding,2001,Mira Nair,"Lillete Dubey, Naseeruddin Shah, Vijay Raaz, Shefali Shah"
Piñero,2001,Leon Ichaso,"Benjamin Bratt, Nelson Vasquez, Giancarlo Esposito, Talisa Soto"
Ghosts of Mars,2001,John Carpenter,"Jason Statham, Pam Grier, Natasha Henstridge, Ice Cube"
Cupid's Mistake,2001,Young Man Kang,"Everardo Gil, Ken Yasuda, Toya Cho, Susan Petry"
Jay and Silent Bob Strike Back,2001,Kevin Smith,"Jeff Anderson, Ben Affleck, Jason Mewes, Kevin Smith"
Love the Hard Way,2001,Peter Sehr,"August Diehl, Jon Seda, Adrien Brody, Charlotte Ayanna"
Session 9,2001,Brad Anderson,"Stephen Gevedon, David Caruso, Paul Guilfoyle, Josh Lucas"
Jackpot,2001,Michael Polish,"Patrick Bauchau, Daryl Hannah, Garrett Morris, Jon Gries"
Jason X,2001,James Isaac,"Lexa Doig, Kane Hodder, Jeff Geddis, David Cronenberg"
Made,2001,Jon Favreau,"Joe Goossen, Vince Vaughn, Famke Janssen, Jon Favreau"
Circuit,2001,Dirk Shafer,"Jonathan Wade-Drahos, Andre Khabbazi, Kiersten Warren, Brian Lane Green"
Final Fantasy: The Spirits Within,2001,Hironobu Sakaguchi,"Ving Rhames, Ming-Na Wen, Steve Buscemi, Alec Baldwin"
Elvira's Haunted Hills,2001,Sam Irvin,"Mary Scheer, Cassandra Peterson, ""Richard OBrien"", Scott Atkinson"
Way Off Broadway,2001,Dan Kay,"Michael Parducci, Morena Baccarin, Brad Beyer, Jordan Gelber"
An American Rhapsody,2001,Éva Gárdos,"Nastassja Kinski, Scarlett Johansson, Tony Goldwyn, Raffaella Bánsági"
Ghost World,2001,Terry Zwigoff,"Scarlett Johansson, Steve Buscemi, Thora Birch, Brad Renfro"
Rennie's Landing,2001,Marc Fusco,"Ethan Embry, Scott Foley, Charlotte Ayanna, Peter Facinelli"
Bully,2001,Larry Clark,"Brad Renfro, Bijou Phillips, Rachel Miner, Nick Stahl"
Y Tu Mamá También,2001,Alfonso Cuarón,"Daniel Giménez Cacho, Gael García Bernal, Maribel Verdú, Ana López Mercado"
Bride of the Wind,2001,Bruce Beresford,"Jonathan Pryce, Simon Verhoeven, Vincent Perez, Sarah Wynter"
Gypsy 83,2001,Todd Stephens,"Kett Turton, John Doe, Karen Black, Sara Rue"
No Such Thing,2001,Hal Hartley,"Julie Anderson, Margrét Ákadóttir, Sarah Polley, Robert John Burke"
O,2001,Tim Blake Nelson,"Mekhi Phifer, Martin Sheen, Josh Hartnett, Julia Stiles"
Human Nature,2001,Michel Gondry,"Rhys Ifans, Ken Magee, Tim Robbins, Patricia Arquette"
Dark Blue World,2001,Jan Sverák,"Ondrej Vetchý, Krystof Hádek, Charles Dance, Tara Fitzgerald"
Mulholland Drive,2001,David Lynch,"Jeanne Bates, Justin Theroux, Laura Harring, Naomi Watts"
The Anniversary Party,2001,Alan Cumming,"Kevin Kline, Jennifer Jason Leigh, Alan Cumming, Phoebe Cates"
Rain,2001,Christine Jeffs,"Alistair Browning, Alicia Fulford-Wierzbicki, Marton Csokas, Sarah Peirse"
Big Bad Love,2001,Arliss Howard,"Paul Le Mat, Debra Winger, Rosanna Arquette, Arliss Howard"
Harvard Man,2001,James Toback,"Sarah Michelle Gellar, Adrian Grenier, Eric Stoltz, Joey Lauren Adams"
'R Xmas,2001,Abel Ferrara,"Drea de Matteo, Lillo Brancato, Lisa Valens, Ice-T"
Gaudi Afternoon,2001,Susan Seidelman,"Juliette Lewis, Lili Taylor, Marcia Gay Harden, Judy Davis"
AmnesiA,2001,Martin Koolhoven,"Sacha Bulthuis, Theo Maassen, Carice van Houten, Fedja van Huêt"
Friends and Family,2001,Kristen Coury,"Rebecca Creskoff, Greg Lauren, Chris Gartin, Edward Hibbert"
Texas Rangers,2001,Steve Miner,"Dylan McDermott, James Van Der Beek, Rachael Leigh Cook, Ashton Kutcher"
The Holy Land,2001,Eitan Gorlin,"Albert Iluz, Saul Stein, Tchelet Semel, Oren Rehany"
Revolution #9,2001,Tim McCann,"Spalding Gray, Michael Risley, Adrienne Shelly, Callie Thorne"
America So Beautiful,2001,Babak Shokrian,"Mansour, Atossa Leoni, Belinda Waymouth, Shohreh Aghdashloo"
Kaaterskill Falls,2001,Josh Apter,"Hilary Howard, Mitchell Riggs, Anthony Leslie"
Ever Since the World Ended,2001,Calum Grant,"Aubrey Ankrum, Dan Plumlee, Linda Noveroske, James Curry"
Kissing Jessica Stein,2001,Charles Herman-Wurmfeld,"Jennifer Westfeldt, Heather Juergensen, Esther Wurmfeld, Tovah Feldshuh"
Kwik Stop,2001,Michael Gilio,"Lara Phillips, Michael Gilio, Rich Komenich, Karin Anglin"
The Hidden Wars of Desert Storm,2001,Audrey Brohy,"Norman Schwarzkopf, John Hurt, Scott Ritter, Ramsey Clark"
Sidewalks of New York,2001,Edward Burns,"Edward Burns, Michael Leydon Campbell, Heather Graham, Penny Balfour"
The Center of the World,2001,Wayne Wang,"Peter Sarsgaard, Molly Parker, Balthazar Getty, Shane Edelman"
One Night at McCool's,2001,Harald Zwart,"Liv Tyler, Matt Dillon, Michael Douglas, Mary Jo Smith"
Mau Mau Sex Sex,2001,Ted Bonnitt,"Dan Sonney, Mike Vraney, David F. Friedman, Frank Henenlotter"
Just Visiting,2001,Jean-Marie Poiré,"Jean Reno, Christian Clavier, Matt Ross, Christina Applegate"
Revolution OS,2001,J.T.S. Moore,"Linus Torvalds, Bruce Perens, Richard M. Stallman, Eric Raymond"
Brigham City,2001,Richard Dutcher,"Wilford Brimley, Richard Dutcher, Carrie Morgan, Matthew A. Brown"
