title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Many Wives: Vows of Silence,2000,,,,Documentary,Menasheh Fogel,"Patty Brown, Owen Allred, Ron Allen, Robbie Canfield"
A House by the Sea,2000,,,93.0,Drama,Karl W. Lohninger,"Paul Goodman, Shannon Jones, Susan Estes, Scott Ramirez"
Dirk and Betty,2000,,,92.0,Comedy,Robert Bauer,"Nicole Dooley, Robert Bauer, Maria Pitillo, Pamela Adlon"
Diaries of Darkness,2000,,,,"Drama, Thriller",Lucas Lowe,"Bryan Burke, Annie Abbott, Robert Apisa, Jeremy Foley"
Belong,2000,,,,,Joseph Bagley,"Veronica Miller, Jason Hopkins, Jesse Fluck, July Krause"
Dinner,2000,,,,"Short, Horror, Adventure",David Tarleton,"J. Ayscue, Carey DiPietro, Shannon Welles, Terry Tocantins"
Bar Hopping,2000,,,89.0,Comedy,Steve Cohen,"John Henson, Nicole Sullivan, Tom Arnold, Linda Favila"
Dark of Night,2000,,,,,Steven A. Sandt,"Richard Olmstead, William Smith, Jennifer Williams, Kio Yu"
The Grizzly Six,2000,,,,Action,,
Dean Quixote,2000,,,90.0,Comedy,Orion Walker,"Alex Cain, David Quane, Brian Poth, Simon Billig"
Rhythm & Blues,2000,,Not Rated,98.0,Comedy,Stephen Lennhoff,"Angus MacInnes, Paul Blackthorne, Philippe Sartori, Ian Henderson"
Hangman,2000,,,,Drama,,"Kirk Westwood, Peter Maxtone-Graham, Brad Henson, Kate Walker"
The Playaz Court,2000,,R,97.0,"Drama, Crime, Mystery",Greg Morgan,"Arlen Escarpeta, Gilbert Glenn Brown, Robert David Cochrane, Sean Blakemore"
In Between,2000,,,11.0,"Short, Comedy",Daun Windover,"Andrew Bush, Brian Heighton, Angela Vermeir, Perdita Andrews"
The Boys Behind the Desk,2000,,,,Comedy,Sally Kirkland,"""Jack Wildman Armstrong"", Lou Albano, Vito Antuofermo, Pat Cooper"
Screenland Drive,2000,,,89.0,Comedy,Ty Bradford,"Eric Matheny, Jennifer Aquino, Eddie McClintock, Kellie Waymire"
Couch Taters,2000,,,,,Jonny Vasic,"Kerry Alan Williams, Ryan Massey, Todd Malta, Joe Dalo"
Urban Mythology,2000,,,109.0,"Thriller, Comedy",Tor Ramsey,"Betsy Randle, Nancy Sirianni, Robert C. Treveiler, Renée Humphrey"
Net Worth,2001,,,94.0,"Action, Adventure, Comedy",Kenny Griswold,"Michael T. Weiss, Todd Field, Daniel Baldwin, Craig Sheffer"
Slice & Dice,2000,,,,Comedy,Rod McCall,"Tony Crane, Dan Gunther, Caroleen Feeney, Juan Fernández"
